group_code,iso3
ARB,ARE
ARB,BHR
ARB,COM
ARB,DJI
ARB,DZA
ARB,EGY
ARB,IRQ
ARB,JOR
ARB,KWT
ARB,LBN
ARB,LBY
ARB,MAR
ARB,MRT
ARB,OMN
ARB,PSE
ARB,QAT
ARB,SAU
ARB,SDN
ARB,SOM
ARB,SYR
ARB,TUN
ARB,YEM
CEB,BGR
CEB,CZE
CEB,EST
CEB,HRV
CEB,HUN
CEB,LTU
CEB,LVA
CEB,POL
CEB,ROU
CEB,SVK
CEB,SVN
CSS,ATG
CSS,BHS
CSS,BLZ
CSS,BRB
CSS,DMA
CSS,GRD
CSS,GUY
CSS,JAM
CSS,KNA
CSS,LCA
CSS,SUR
CSS,TTO
CSS,VCT
EAP,ASM
EAP,CHN
EAP,FJI
EAP,FSM
EAP,IDN
EAP,KHM
EAP,KIR
EAP,LAO
EAP,MHL
EAP,MMR
EAP,MNG
EAP,MYS
EAP,NRU
EAP,PHL
EAP,PNG
EAP,PRK
EAP,SLB
EAP,THA
EAP,TLS
EAP,TON
EAP,TUV
EAP,VNM
EAP,VUT
EAP,WSM
EAR,ARG
EAR,BGD
EAR,BHR
EAR,BLZ
EAR,BOL
EAR,BTN
EAR,BWA
EAR,CPV
EAR,DJI
EAR,DOM
EAR,DZA
EAR,ECU
EAR,EGY
EAR,ETH
EAR,FSM
EAR,GAB
EAR,GHA
EAR,GRD
EAR,GTM
EAR,HND
EAR,HTI
EAR,IDN
EAR,IND
EAR,IRN
EAR,ISR
EAR,JOR
EAR,KHM
EAR,KIR
EAR,LAO
EAR,LBY
EAR,LSO
EAR,MDV
EAR,MEX
EAR,MMR
EAR,NAM
EAR,NIC
EAR,NPL
EAR,PAK
EAR,PAN
EAR,PER
EAR,PHL
EAR,PNG
EAR,PRY
EAR,PSE
EAR,RWA
EAR,SAU
EAR,SLB
EAR,SLV
EAR,SUR
EAR,SWZ
EAR,SYR
EAR,TJK
EAR,TKM
EAR,TON
EAR,TUR
EAR,UZB
EAR,VEN
EAR,VUT
EAR,WSM
EAR,YEM
EAR,ZAF
EAR,ZWE
EAS,ASM
EAS,AUS
EAS,BRN
EAS,CHN
EAS,FJI
EAS,FSM
EAS,GUM
EAS,HKG
EAS,IDN
EAS,JPN
EAS,KHM
EAS,KIR
EAS,KOR
EAS,LAO
EAS,MAC
EAS,MHL
EAS,MMR
EAS,MNG
EAS,MNP
EAS,MYS
EAS,NCL
EAS,NRU
EAS,NZL
EAS,PHL
EAS,PLW
EAS,PNG
EAS,PRK
EAS,PYF
EAS,SGP
EAS,SLB
EAS,THA
EAS,TLS
EAS,TON
EAS,TUV
EAS,TWN
EAS,VNM
EAS,VUT
EAS,WSM
ECA,ALB
ECA,ARM
ECA,AZE
ECA,BGR
ECA,BIH
ECA,BLR
ECA,GEO
ECA,KAZ
ECA,KGZ
ECA,MDA
ECA,MKD
ECA,MNE
ECA,ROU
ECA,RUS
ECA,SRB
ECA,TJK
ECA,TKM
ECA,TUR
ECA,UKR
ECA,UZB
ECS,ALB
ECS,AND
ECS,ARM
ECS,AUT
ECS,AZE
ECS,BEL
ECS,BGR
ECS,BIH
ECS,BLR
ECS,CHE
ECS,CYP
ECS,CZE
ECS,DEU
ECS,DNK
ECS,ESP
ECS,EST
ECS,FIN
ECS,FRA
ECS,FRO
ECS,GBR
ECS,GEO
ECS,GIB
ECS,GRC
ECS,GRL
ECS,HRV
ECS,HUN
ECS,IMN
ECS,IRL
ECS,ISL
ECS,ITA
ECS,KAZ
ECS,KGZ
ECS,LIE
ECS,LTU
ECS,LUX
ECS,LVA
ECS,MCO
ECS,MDA
ECS,MKD
ECS,MNE
ECS,NLD
ECS,NOR
ECS,POL
ECS,PRT
ECS,ROU
ECS,RUS
ECS,SMR
ECS,SRB
ECS,SVK
ECS,SVN
ECS,SWE
ECS,TJK
ECS,TKM
ECS,TUR
ECS,UKR
ECS,UZB
EMU,AUT
EMU,BEL
EMU,CYP
EMU,DEU
EMU,ESP
EMU,EST
EMU,FIN
EMU,FRA
EMU,GRC
EMU,IRL
EMU,ITA
EMU,LTU
EMU,LUX
EMU,LVA
EMU,MLT
EMU,NLD
EMU,PRT
EMU,SVK
EMU,SVN
EUU,AUT
EUU,BEL
EUU,BGR
EUU,CYP
EUU,CZE
EUU,DEU
EUU,DNK
EUU,ESP
EUU,EST
EUU,FIN
EUU,FRA
EUU,GBR
EUU,GRC
EUU,HRV
EUU,HUN
EUU,IRL
EUU,ITA
EUU,LTU
EUU,LUX
EUU,LVA
EUU,MLT
EUU,NLD
EUU,POL
EUU,PRT
EUU,ROU
EUU,SVK
EUU,SVN
EUU,SWE
FCS,AFG
FCS,BDI
FCS,CAF
FCS,CIV
FCS,COD
FCS,COG
FCS,COM
FCS,DJI
FCS,ERI
FCS,FSM
FCS,GMB
FCS,GNB
FCS,HTI
FCS,IRQ
FCS,KIR
FCS,LBN
FCS,LBR
FCS,LBY
FCS,MHL
FCS,MLI
FCS,MMR
FCS,MOZ
FCS,PNG
FCS,PSE
FCS,SDN
FCS,SLB
FCS,SOM
FCS,SSD
FCS,SYR
FCS,TCD
FCS,TGO
FCS,TLS
FCS,TUV
FCS,YEM
FCS,ZWE
HIC,ABW
HIC,AND
HIC,ARE
HIC,ARG
HIC,ATG
HIC,AUS
HIC,AUT
HIC,BEL
HIC,BHR
HIC,BHS
HIC,BMU
HIC,BRB
HIC,BRN
HIC,CAN
HIC,CHE
HIC,CHL
HIC,CUW
HIC,CYM
HIC,CYP
HIC,CZE
HIC,DEU
HIC,DNK
HIC,ESP
HIC,EST
HIC,FIN
HIC,FRA
HIC,FRO
HIC,GBR
HIC,GIB
HIC,GRC
HIC,GRL
HIC,GUM
HIC,HKG
HIC,HRV
HIC,HUN
HIC,IMN
HIC,IRL
HIC,ISL
HIC,ISR
HIC,ITA
HIC,JPN
HIC,KNA
HIC,KOR
HIC,KWT
HIC,LIE
HIC,LTU
HIC,LUX
HIC,LVA
HIC,MAC
HIC,MAF
HIC,MCO
HIC,MLT
HIC,MNP
HIC,NCL
HIC,NLD
HIC,NOR
HIC,NZL
HIC,OMN
HIC,PAN
HIC,PLW
HIC,POL
HIC,PRI
HIC,PRT
HIC,PYF
HIC,QAT
HIC,SAU
HIC,SGP
HIC,SMR
HIC,SVK
HIC,SVN
HIC,SWE
HIC,SXM
HIC,SYC
HIC,TCA
HIC,TTO
HIC,TWN
HIC,URY
HIC,USA
HIC,VGB
HIC,VIR
HPC,AFG
HPC,BDI
HPC,BEN
HPC,BFA
HPC,BOL
HPC,CAF
HPC,CIV
HPC,CMR
HPC,COD
HPC,COG
HPC,COM
HPC,ERI
HPC,ETH
HPC,GHA
HPC,GIN
HPC,GMB
HPC,GNB
HPC,GUY
HPC,HND
HPC,HTI
HPC,LBR
HPC,MDG
HPC,MLI
HPC,MOZ
HPC,MRT
HPC,MWI
HPC,NER
HPC,NIC
HPC,RWA
HPC,SDN
HPC,SEN
HPC,SLE
HPC,SOM
HPC,STP
HPC,TCD
HPC,TGO
HPC,TZA
HPC,UGA
HPC,ZMB
IBD,AGO
IBD,ALB
IBD,ARG
IBD,ARM
IBD,ATG
IBD,AZE
IBD,BGR
IBD,BIH
IBD,BLR
IBD,BLZ
IBD,BOL
IBD,BRA
IBD,BWA
IBD,CHL
IBD,CHN
IBD,COL
IBD,CRI
IBD,DOM
IBD,DZA
IBD,ECU
IBD,EGY
IBD,FJI
IBD,GAB
IBD,GEO
IBD,GNQ
IBD,GTM
IBD,HRV
IBD,IDN
IBD,IND
IBD,IRN
IBD,IRQ
IBD,JAM
IBD,JOR
IBD,KAZ
IBD,KNA
IBD,LBN
IBD,LBY
IBD,LKA
IBD,MAR
IBD,MEX
IBD,MKD
IBD,MNE
IBD,MUS
IBD,MYS
IBD,NAM
IBD,NRU
IBD,PAN
IBD,PER
IBD,PHL
IBD,PLW
IBD,POL
IBD,PRY
IBD,ROU
IBD,RUS
IBD,SLV
IBD,SRB
IBD,SUR
IBD,SWZ
IBD,SYC
IBD,THA
IBD,TKM
IBD,TTO
IBD,TUN
IBD,TUR
IBD,UKR
IBD,URY
IBD,VEN
IBD,VNM
IBD,ZAF
IBT,AFG
IBT,AGO
IBT,ALB
IBT,ARG
IBT,ARM
IBT,ATG
IBT,AZE
IBT,BDI
IBT,BEN
IBT,BFA
IBT,BGD
IBT,BGR
IBT,BIH
IBT,BLR
IBT,BLZ
IBT,BOL
IBT,BRA
IBT,BTN
IBT,BWA
IBT,CAF
IBT,CHL
IBT,CHN
IBT,CIV
IBT,CMR
IBT,COD
IBT,COG
IBT,COL
IBT,COM
IBT,CPV
IBT,CRI
IBT,DJI
IBT,DMA
IBT,DOM
IBT,DZA
IBT,ECU
IBT,EGY
IBT,ERI
IBT,ETH
IBT,FJI
IBT,FSM
IBT,GAB
IBT,GEO
IBT,GHA
IBT,GIN
IBT,GMB
IBT,GNB
IBT,GNQ
IBT,GRD
IBT,GTM
IBT,GUY
IBT,HND
IBT,HRV
IBT,HTI
IBT,IDN
IBT,IND
IBT,IRN
IBT,IRQ
IBT,JAM
IBT,JOR
IBT,KAZ
IBT,KEN
IBT,KGZ
IBT,KHM
IBT,KIR
IBT,KNA
IBT,LAO
IBT,LBN
IBT,LBR
IBT,LBY
IBT,LCA
IBT,LKA
IBT,LSO
IBT,MAR
IBT,MDA
IBT,MDG
IBT,MDV
IBT,MEX
IBT,MHL
IBT,MKD
IBT,MLI
IBT,MMR
IBT,MNE
IBT,MNG
IBT,MOZ
IBT,MRT
IBT,MUS
IBT,MWI
IBT,MYS
IBT,NAM
IBT,NER
IBT,NGA
IBT,NIC
IBT,NPL
IBT,NRU
IBT,PAK
IBT,PAN
IBT,PER
IBT,PHL
IBT,PLW
IBT,PNG
IBT,POL
IBT,PRY
IBT,ROU
IBT,RUS
IBT,RWA
IBT,SDN
IBT,SEN
IBT,SLB
IBT,SLE
IBT,SLV
IBT,SOM
IBT,SRB
IBT,SSD
IBT,STP
IBT,SUR
IBT,SWZ
IBT,SYC
IBT,SYR
IBT,TCD
IBT,TGO
IBT,THA
IBT,TJK
IBT,TKM
IBT,TLS
IBT,TON
IBT,TTO
IBT,TUN
IBT,TUR
IBT,TUV
IBT,TZA
IBT,UGA
IBT,UKR
IBT,URY
IBT,UZB
IBT,VCT
IBT,VEN
IBT,VNM
IBT,VUT
IBT,WSM
IBT,YEM
IBT,ZAF
IBT,ZMB
IBT,ZWE
IDA,AFG
IDA,BDI
IDA,BEN
IDA,BFA
IDA,BGD
IDA,BTN
IDA,CAF
IDA,CIV
IDA,CMR
IDA,COD
IDA,COG
IDA,COM
IDA,CPV
IDA,DJI
IDA,DMA
IDA,ERI
IDA,ETH
IDA,FSM
IDA,GHA
IDA,GIN
IDA,GMB
IDA,GNB
IDA,GRD
IDA,GUY
IDA,HND
IDA,HTI
IDA,KEN
IDA,KGZ
IDA,KHM
IDA,KIR
IDA,LAO
IDA,LBR
IDA,LCA
IDA,LSO
IDA,MDA
IDA,MDG
IDA,MDV
IDA,MHL
IDA,MLI
IDA,MMR
IDA,MNG
IDA,MOZ
IDA,MRT
IDA,MWI
IDA,NER
IDA,NGA
IDA,NIC
IDA,NPL
IDA,PAK
IDA,PNG
IDA,RWA
IDA,SDN
IDA,SEN
IDA,SLB
IDA,SLE
IDA,SOM
IDA,SSD
IDA,STP
IDA,SYR
IDA,TCD
IDA,TGO
IDA,TJK
IDA,TLS
IDA,TON
IDA,TUV
IDA,TZA
IDA,UGA
IDA,UZB
IDA,VCT
IDA,VUT
IDA,WSM
IDA,YEM
IDA,ZMB
IDA,ZWE
IDB,CMR
IDB,COG
IDB,CPV
IDB,DMA
IDB,GRD
IDB,KEN
IDB,LCA
IDB,MDA
IDB,MNG
IDB,NGA
IDB,PAK
IDB,PNG
IDB,TLS
IDB,UZB
IDB,VCT
IDB,ZWE
IDX,AFG
IDX,BDI
IDX,BEN
IDX,BFA
IDX,BGD
IDX,BTN
IDX,CAF
IDX,CIV
IDX,COD
IDX,COM
IDX,DJI
IDX,ERI
IDX,ETH
IDX,FSM
IDX,GHA
IDX,GIN
IDX,GMB
IDX,GNB
IDX,GUY
IDX,HND
IDX,HTI
IDX,KGZ
IDX,KHM
IDX,KIR
IDX,LAO
IDX,LBR
IDX,LSO
IDX,MDG
IDX,MDV
IDX,MHL
IDX,MLI
IDX,MMR
IDX,MOZ
IDX,MRT
IDX,MWI
IDX,NER
IDX,NIC
IDX,NPL
IDX,RWA
IDX,SDN
IDX,SEN
IDX,SLB
IDX,SLE
IDX,SOM
IDX,SSD
IDX,STP
IDX,SYR
IDX,TCD
IDX,TGO
IDX,TJK
IDX,TON
IDX,TUV
IDX,TZA
IDX,UGA
IDX,VUT
IDX,WSM
IDX,YEM
IDX,ZMB
LAC,BLZ
LAC,BOL
LAC,BRA
LAC,COL
LAC,CRI
LAC,CUB
LAC,DMA
LAC,DOM
LAC,ECU
LAC,GRD
LAC,GTM
LAC,GUY
LAC,HND
LAC,HTI
LAC,JAM
LAC,LCA
LAC,MEX
LAC,NIC
LAC,PER
LAC,PRY
LAC,SLV
LAC,SUR
LAC,VCT
LAC,VEN
LCN,ABW
LCN,ARG
LCN,ATG
LCN,BHS
LCN,BLZ
LCN,BOL
LCN,BRA
LCN,BRB
LCN,CHL
LCN,COL
LCN,CRI
LCN,CUB
LCN,CUW
LCN,CYM
LCN,DMA
LCN,DOM
LCN,ECU
LCN,GRD
LCN,GTM
LCN,GUY
LCN,HND
LCN,HTI
LCN,JAM
LCN,KNA
LCN,LCA
LCN,MAF
